#separateur|;";date_format|dd/MM/yyyy;heure_format|hh:mm:ss;float_separateur|.;";;;;;;;;;;;;;;;;;
Id;SeuilRuiss;PourcRuiss;Ru;HumCR;HumPF;HumFC;HumSat;PEvap;PercolationMax;Edit;StockIniSurf;StockIniProf;EpaisseurSurf;EpaisseurProf;TankMinIrrig;TankMaxIrrig;TankCapacity;VolRelMacropores
1;10;40;190;0,39;0,2;0,39;0,4485;;5;-1;0;0;200;1600;0;0;0;0
2;10;38;180;0,38;0,2;0,38;0,437;;5;-1;0;0;200;1600;0;0;0;0
3;12;38;160;0,36;0,2;0,36;0,414;;5;-1;0;0;200;1600;0;0;0;0
4;12;36;155;0,335;0,18;0,335;0,38525;;5;-1;0;0;200;1600;0;0;0;0
5;12;36;160;0,34;0,14;0,34;0,391;;5;-1;0;0;200;1600;0;0;0;0
6;15;35;180;0,34;0,16;0,34;0,391;;5;-1;0;0;200;1600;0;0;0;0
7;15;35;160;0,29;0,13;0,29;0,3335;;5;-1;0;0;200;1600;0;0;0;0
8;18;35;160;0,25;0,09;0,25;0,2875;;5;-1;0;0;200;1600;0;0;0;0
9;18;32;155;0,25;0,095;0,25;0,2875;;5;-1;0;0;200;1600;0;0;0;0
10;18;30;140;0,24;0,1;0,24;0,276;;5;-1;0;0;200;1600;0;0;0;0
11;20;27;130;0,23;0,1;0,23;0,2645;;5;-1;0;0;200;1600;0;0;0;0
12;20;25;90;0,15;0,06;0,15;0,1725;;5;-1;0;0;200;1600;0;0;0;0
13;20;20;80;0,12;0,04;0,12;0,138;;5;-1;0;0;200;1600;0;0;0;0
